ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",33,"Safford, AZ","31000US40940","safford-az-31000US40940",265,0.007061206000692798
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",25,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",33,"Safford, AZ","31000US40940","safford-az-31000US40940",49,0.0013056569586186683
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",25,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",22,"Safford, AZ","31000US40940","safford-az-31000US40940",13,0.0003463987849396467
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",305,"Safford, AZ","31000US40940","safford-az-31000US40940",940,0.025047296757174452
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",223.40322289528413,"Safford, AZ","31000US40940","safford-az-31000US40940",422,0.01124463748034853
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",217.72000367444423,"Safford, AZ","31000US40940","safford-az-31000US40940",558,0.014868501692024834
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",24,"Safford, AZ","31000US40940","safford-az-31000US40940",19337,0.5169353329590718
0,"White Alone",1,"Hispanic or Latino",2015,"2015",486,"Safford, AZ","31000US40940","safford-az-31000US40940",9483,0.25350870157991817
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",76,"Safford, AZ","31000US40940","safford-az-31000US40940",724,0.019354666238939236
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",57.99999999999999,"Safford, AZ","31000US40940","safford-az-31000US40940",58,0.0015505119362686128
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",135,"Safford, AZ","31000US40940","safford-az-31000US40940",4817,0.12877268960355015
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",127,"Safford, AZ","31000US40940","safford-az-31000US40940",231,0.006175314780656027
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",35,"Safford, AZ","31000US40940","safford-az-31000US40940",241,0.006442644424840271
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",39,"Safford, AZ","31000US40940","safford-az-31000US40940",48,0.0012831822920843692
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",21,"Safford, AZ","31000US40940","safford-az-31000US40940",16,0.00042772743069478976
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",24,"Safford, AZ","31000US40940","safford-az-31000US40940",16,0.00042772743069478976
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",441,"Safford, AZ","31000US40940","safford-az-31000US40940",1473,0.03937765658833908
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",160.12495120998477,"Safford, AZ","31000US40940","safford-az-31000US40940",342,0.009142673831101131
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",253.40284134160768,"Safford, AZ","31000US40940","safford-az-31000US40940",621,0.016601170903841528
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",23,"Safford, AZ","31000US40940","safford-az-31000US40940",19402,0.5200075044892927
0,"White Alone",1,"Hispanic or Latino",2014,"2014",458.99999999999994,"Safford, AZ","31000US40940","safford-az-31000US40940",9034,0.2421269866795315
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",50,"Safford, AZ","31000US40940","safford-az-31000US40940",739,0.019806491383238187
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",53,"Safford, AZ","31000US40940","safford-az-31000US40940",59,0.0015813031009621827
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",121,"Safford, AZ","31000US40940","safford-az-31000US40940",4952,0.13272225349092762
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",125,"Safford, AZ","31000US40940","safford-az-31000US40940",257,0.006888049100801372
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",60.00000000000001,"Safford, AZ","31000US40940","safford-az-31000US40940",186,0.004985125030151966
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",27,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",35,"Safford, AZ","31000US40940","safford-az-31000US40940",39,0.0010452681514834768
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",26,"Safford, AZ","31000US40940","safford-az-31000US40940",19,0.0005092332020047708
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",23,"Safford, AZ","31000US40940","safford-az-31000US40940",16,0.0004288279595829648
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",416,"Safford, AZ","31000US40940","safford-az-31000US40940",1760,0.04717107555412613
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",145.52662986546483,"Safford, AZ","31000US40940","safford-az-31000US40940",305,0.008174532979550267
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",261.4670151281037,"Safford, AZ","31000US40940","safford-az-31000US40940",543,0.014553348878346868
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",19,"Safford, AZ","31000US40940","safford-az-31000US40940",19451,0.5233265174343521
0,"White Alone",1,"Hispanic or Latino",2013,"2013",477.99999999999994,"Safford, AZ","31000US40940","safford-az-31000US40940",8944,0.24063710718897977
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",61,"Safford, AZ","31000US40940","safford-az-31000US40940",704,0.018941024537236333
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",60.00000000000001,"Safford, AZ","31000US40940","safford-az-31000US40940",56,0.001506672406371072
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",136,"Safford, AZ","31000US40940","safford-az-31000US40940",4986,0.13414765389582436
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",127,"Safford, AZ","31000US40940","safford-az-31000US40940",230,0.006188118811881188
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",54.99999999999999,"Safford, AZ","31000US40940","safford-az-31000US40940",199,0.005354068015497202
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",27,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",43,"Safford, AZ","31000US40940","safford-az-31000US40940",53,0.0014259578131726215
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",27,"Safford, AZ","31000US40940","safford-az-31000US40940",18,0.0004842875591907017
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",19,"Safford, AZ","31000US40940","safford-az-31000US40940",11,0.0002959535083943177
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",419,"Safford, AZ","31000US40940","safford-az-31000US40940",1726,0.046437795953508394
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",148.47558721890948,"Safford, AZ","31000US40940","safford-az-31000US40940",292,0.00785622040464916
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",230.4886114323222,"Safford, AZ","31000US40940","safford-az-31000US40940",498,0.013398622470942747
